epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,153.64,0.35781,1,1,0.00321,0.000464992,0.000464992,0.000464992
2,305.392,0.00514,1,1,0.00054,0.00089473,0.00089473,0.00089473
3,455.8,0.00102,1,1,0.00021,0.00127731,0.00127731,0.00127731
4,604.483,0.00084,1,1,8e-05,0.00121679,0.00121679,0.00121679
5,753.238,0.00036,1,1,6e-05,0.00114606,0.00114606,0.00114606
6,902.419,0.00047,1,1,0.00024,0.00107532,0.00107532,0.00107532
7,1050.5,0.00071,1,1,0.00014,0.00100459,0.00100459,0.00100459
8,1198.43,0.00039,1,1,8e-05,0.000933851,0.000933851,0.000933851
9,1346.52,0.00024,1,1,4e-05,0.000863116,0.000863116,0.000863116
10,1495.91,0.00019,1,1,3e-05,0.00079238,0.00079238,0.00079238
11,1645.16,0.00013,1,1,3e-05,0.000721645,0.000721645,0.000721645
12,1794.28,0.00015,1,1,2e-05,0.000650909,0.000650909,0.000650909
13,1943.06,8e-05,1,1,2e-05,0.000580174,0.000580174,0.000580174
14,2091.82,7e-05,1,1,3e-05,0.000509438,0.000509438,0.000509438
15,2240.59,8e-05,1,1,2e-05,0.000438703,0.000438703,0.000438703
16,2389.35,9e-05,1,1,2e-05,0.000367967,0.000367967,0.000367967
17,2536.69,7e-05,1,1,2e-05,0.000297232,0.000297232,0.000297232
18,2687.28,7e-05,1,1,2e-05,0.000226497,0.000226497,0.000226497
19,2835.37,7e-05,1,1,2e-05,0.000155761,0.000155761,0.000155761
20,2985.16,9e-05,1,1,1e-05,8.50255e-05,8.50255e-05,8.50255e-05
